Bus_name,Bus_type,Departing_time,Duration,Reaching_time,Star_rating,Price,Seat_availability
RSRTC - 189583,NON AC Seater / Sleeper 2+1,23:59,03h 46m,03:45,4.4,INR 302,15 Seats available
Jakhar Travels,A/C Seater / Sleeper (2+1),22:35,03h 55m,02:30,3.9,INR 500,22 Seats available
M R Travels,A/C Seater / Sleeper (2+1),22:35,03h 40m,02:15,3.8,INR 510,5 Seats available
Jain travels regd,AC Sleeper (2+1),22:35,04h 00m,02:35,3.3,INR 580,14 Seats available
Gajraj Travels,A/C Sleeper (2+1),22:40,04h 30m,03:10,4.5,INR 650,20 Seats available
Swagat Travels,A/C Seater / Sleeper (2+1),22:42,04h 08m,02:50,3.3,463,45 Seats available
Shre Ganesh Travels (VR SIYOL),A/C Seater / Sleeper (2+1),22:45,04h 30m,03:15,3.3,500,19 Seats available
Bhagwati Travels and Tours,A/C Seater/Sleeper (2+1),23:30,04h 30m,04:00,3.1,360,34 Seats available
M R Travels,A/C Seater / Sleeper (2+1),22:45,03h 40m,02:25,3.8,INR 510,6 Seats available
Jakhar Travels,A/C Seater / Sleeper (2+1),23:00,04h 30m,03:30,3.9,INR 600,11 Seats available
Tiger Travels,A/C Seater / Sleeper (2+1),23:15,04h 30m,03:45,4.3,INR 500,40 Seats available
Jakhar Travels,A/C Seater / Sleeper (2+1),23:39,04h 51m,04:30,3.9,INR 500,15 Seats available
Jakhar Travels And Cargo,A/C Seater / Sleeper (2+1),23:40,04h 20m,04:00,4.3,INR 400,16 Seats available
Shri Ganesh Travels (LR SIYOL),A/C Seater / Sleeper (2+1),23:55,04h 35m,04:30,3.9,INR 450,23 Seats available
Shre Ganesh Travels (VR SIYOL),Bharat Benz A/C Seater /Sleeper (2+1),23:59,04h 16m,04:15,3.3,700,10 Seats available
Laxmi traveller,A/C Seater / Sleeper (2+1),22:35,04h 06m,02:41,2.1,INR 600,6 Seats available
Gorsiya Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:40,04h 35m,04:15,2.0,370,24 Seats available
Chouhan travels and Cargo,A/C Seater / Sleeper (2+1),22:35,04h 45m,03:20,3.4,INR 761.9,32 Seats available
Maruti Travels Balotra,AC Sleeper (2+1),23:58,04h 36m,04:34,3.2,INR 3000,32 Seats available
